x	y
300	5.59873E-011
302.551	6.50235E-011
305.102	7.79671E-011
307.653	9.66223E-011
310.204	1.20867E-010
312.755	1.53325E-010
315.306	1.97186E-010
317.857	2.56687E-010
320.408	3.37488E-010
322.959	4.47112E-010
325.51	5.95482E-010
328.061	7.9557E-010
330.612	1.06415E-009
333.163	1.42267E-009
335.714	1.89815E-009
338.265	2.52406E-009
340.816	3.34105E-009
343.367	4.39715E-009
345.918	5.74728E-009
348.469	7.45146E-009
351.02	9.57129E-009
353.571	1.21644E-008
356.122	1.52766E-008
358.673	1.8933E-008
361.224	2.31285E-008
363.776	2.78209E-008
366.327	3.29295E-008
368.878	3.83388E-008
371.429	4.39097E-008
373.98	4.94946E-008
376.531	5.49533E-008
379.082	6.01659E-008
381.633	6.50413E-008
384.184	6.95203E-008
386.735	7.35742E-008
389.286	7.72002E-008
391.837	8.0416E-008
394.388	8.32531E-008
396.939	8.57514E-008
399.49	8.79545E-008
402.041	8.99058E-008
404.592	9.16465E-008
407.143	9.32136E-008
409.694	9.46397E-008
412.245	9.59527E-008
414.796	9.71764E-008
417.347	9.83304E-008
419.898	9.94308E-008
422.449	1.00491E-007
425	1.01522E-007
427.551	1.02534E-007
430.102	1.03533E-007
432.653	1.04526E-007
435.204	1.05518E-007
437.755	1.06513E-007
440.306	1.07516E-007
442.857	1.08528E-007
445.408	1.09554E-007
447.959	1.10594E-007
450.51	1.11652E-007
453.061	1.12728E-007
455.612	1.13824E-007
458.163	1.14942E-007
460.714	1.16083E-007
463.265	1.17248E-007
465.816	1.18438E-007
468.367	1.19655E-007
470.918	1.20899E-007
473.469	1.22171E-007
476.02	1.23472E-007
478.571	1.24803E-007
481.122	1.26165E-007
483.673	1.27559E-007
486.224	1.28986E-007
488.776	1.30447E-007
491.327	1.31942E-007
493.878	1.33472E-007
496.429	1.35038E-007
498.98	1.36642E-007
501.531	1.38284E-007
504.082	1.39964E-007
506.633	1.41684E-007
509.184	1.43444E-007
511.735	1.45246E-007
514.286	1.47089E-007
516.837	1.48975E-007
519.388	1.50903E-007
521.939	1.52876E-007
524.49	1.54892E-007
527.041	1.56952E-007
529.592	1.59057E-007
532.143	1.61206E-007
534.694	1.634E-007
537.245	1.65637E-007
539.796	1.67918E-007
542.347	1.70241E-007
544.898	1.72605E-007
547.449	1.75009E-007
550	1.77451E-007
552.551	1.79928E-007
555.102	1.82437E-007
557.653	1.84976E-007
560.204	1.87539E-007
562.755	1.90124E-007
565.306	1.92722E-007
567.857	1.9533E-007
570.408	1.97939E-007
572.959	2.00542E-007
575.51	2.03128E-007
578.061	2.05689E-007
580.612	2.08213E-007
583.163	2.10687E-007
585.714	2.13098E-007
588.265	2.15431E-007
590.816	2.17671E-007
593.367	2.19799E-007
595.918	2.21799E-007
598.469	2.23651E-007
601.02	2.25336E-007
603.571	2.26834E-007
606.122	2.28125E-007
608.673	2.29189E-007
611.224	2.30005E-007
613.776	2.30555E-007
616.327	2.30821E-007
618.878	2.30786E-007
621.429	2.30437E-007
623.98	2.2976E-007
626.531	2.28747E-007
629.082	2.2739E-007
631.633	2.25685E-007
634.184	2.23632E-007
636.735	2.21232E-007
639.286	2.18491E-007
641.837	2.15416E-007
644.388	2.12017E-007
646.939	2.08307E-007
649.49	2.043E-007
652.041	2.00011E-007
654.592	1.95456E-007
657.143	1.90651E-007
659.694	1.85613E-007
662.245	1.80358E-007
664.796	1.74901E-007
667.347	1.69256E-007
669.898	1.63436E-007
672.449	1.57452E-007
675	1.51315E-007
677.551	1.45034E-007
680.102	1.38616E-007
682.653	1.32068E-007
685.204	1.25397E-007
687.755	1.18608E-007
690.306	1.1171E-007
692.857	1.04711E-007
695.408	9.76222E-008
697.959	9.04596E-008
700.51	8.32434E-008
703.061	7.60007E-008
705.612	6.87666E-008
708.163	6.15856E-008
710.714	5.45121E-008
713.265	4.7611E-008
715.816	4.09567E-008
718.367	3.46304E-008
720.918	2.87167E-008
723.469	2.32971E-008
726.02	1.84433E-008
728.571	1.42092E-008
731.122	1.06239E-008
733.673	7.68699E-009
736.224	5.36745E-009
738.776	3.6068E-009
741.327	2.32626E-009
743.878	1.43636E-009
746.429	8.46971E-010
748.98	4.75832E-010
751.531	2.54123E-010
754.082	1.28736E-010
756.633	6.17352E-011
759.184	2.7969E-011
761.735	1.19485E-011
764.286	4.80458E-012
766.837	1.81536E-012
769.388	6.43477E-013
771.939	2.13652E-013
774.49	6.63539E-014
777.041	1.92505E-014
779.592	5.21082E-015
782.143	1.31454E-015
784.694	3.0875E-016
787.245	6.74531E-017
789.796	1.36963E-017
792.347	2.58279E-018
794.898	4.52041E-019
797.449	0
800	0
