x	 y
317.0261067	3.14675E+17
330.0794552	5.80938E+17
360.7264472	1.42814E+18
378.8876277	4.45386E+18
391.9409762	5.13162E+18
416.9125993	5.78517E+18
432.8036322	6.43873E+18
454.3700341	6.19667E+18
467.4233825	6.36611E+18
485.584563	6.77761E+18
499.7729852	7.38275E+18
517.3666288	7.84266E+18
535.5278093	8.4236E+18
548.5811578	9.51286E+18
565.6072645	1.06747E+19
580.9307605	1.26112E+19
601.3620885	1.42814E+19
610.4426788	1.5298E+19
643.3598184	1.53949E+19
656.9807037	1.29259E+19
673.4392736	8.93192E+18
700.6810443	4.74433E+18
705.7888763	3.43722E+18
720.5448354	2.56581E+18
735.8683314	1.93646E+18
767.6503973	1.33132E+18
798.8649262	1.21029E+18
625.1986379	1.6E+19
